hotel_id,name,city,address,found hotel name 1,found hotel address 1,found hotel link 1,found hotel name 2,found hotel address 2,found hotel link 2
1098020,Roda Amwaj Suites Jumeirah Beach Residence,Dubai,The Walk,Roda Amwaj Suites - Expedia,"The Walk, Jumeirah Beach Residence, Dubai, 555613",https://www.expedia.com/Dubai-Hotels-Roda-Amwaj-Suites.h8745057.Hotel-Information
412338,Ramada Plaza Jumeirah Beach,Dubai,Bahar 7,Ramada Plaza Jumeirah Beach - Expedia,"Bahar 7, Dubai, 188555",https://www.expedia.com/Dubai-Hotels-Ramada-Plaza-Jumeirah-Beach.h4480234.Hotel-Information
179356,Meriton Suites Kent Street,Sydney,528 Kent Street,hotel not found,,
2356868,Marlin Waterloo,London,111 Westminster Bridge Road,Marlin Waterloo - Expedia,"111 Westminster Bridge Road, London, SE1 7HR, England",https://www.expedia.com/London-Hotels-Marlin-Waterloo.h18561390.Hotel-Information
1374533,Hyatt Regency Creek Heights Residences,Dubai,Dubai Healthcare City,Hyatt Regency Dubai Creek Heights Residences - expedia.com,"20th Street, Dubai",https://www.expedia.com/Dubai-Hotels-Hyatt-Regency-Dubai-Creek-Heights-Residences.h24197743.Hotel-Information,Hyatt Regency Dubai Creek Heights - Expedia,"Al Riyadh Street, Dubai",https://www.expedia.com/Dubai-Hotels-Hyatt-Regency-Dubai-Creek-Heights.h9709394.Hotel-Information
123456,Leonardo,tel aviv,"156 Hayarkon Street, Tel Aviv, 63451 ",Leonardo Beach Tel Aviv - Expedia,"156 Hayarkon Street, Tel Aviv, 63451",https://www.expedia.com/Tel-Aviv-Hotels-Leonardo-Beach-Tel-Aviv.h9925.Hotel-Information,Leonardo Art Tel Aviv - Expedia,"9 Eliezer Peri Street, Tel Aviv, 61032",https://www.expedia.com/Tel-Aviv-Hotels-Leonardo-Art-Tel-Aviv.h525146.Hotel-Information
